l_train,d_train,l_test,d_test,N_SLM,N_test,SMSE SLM,N_FEM,SMSE FEM
3,6,14,6,30,1000,1.2489044109926637,10000,1.2412935910879992
3,6,14,6,40,1000,1.2413844666159144,10000,1.2412935910879992
3,6,14,6,60,1000,1.2383272496450624,10000,1.2412935910879992
3,6,14,6,80,1000,1.237686594303274,10000,1.2412935910879992
3,6,14,6,120,1000,1.2373514866570867,10000,1.2412935910879992
3,6,14,6,160,1000,1.238300091020358,10000,1.2412935910879992
3,6,14,6,230,1000,1.2368184011983403,10000,1.2412935910879992
3,6,14,6,320,1000,1.2366583564673932,10000,1.2412935910879992
3,6,14,6,460,1000,1.2368418685896778,10000,1.2412935910879992
3,6,14,6,640,1000,1.236727651461219,10000,1.2412935910879992
3,6,14,6,910,1000,1.2368102819655644,10000,1.2412935910879992
3,6,14,6,1280,1000,1.2367108647733376,10000,1.2412935910879992
3,6,14,6,1820,1000,1.236728701860024,10000,1.2412935910879992
3,6,14,6,2560,1000,1.2367061000154451,10000,1.2412935910879992
4,6,14,6,30,1000,0.6644062325712432,10000,0.656751601336373
4,6,14,6,40,1000,0.6569163120259001,10000,0.656751601336373
4,6,14,6,60,1000,0.659270602990979,10000,0.656751601336373
4,6,14,6,80,1000,0.6545048404793123,10000,0.656751601336373
4,6,14,6,120,1000,0.6540184388858007,10000,0.656751601336373
4,6,14,6,160,1000,0.6556525380159787,10000,0.656751601336373
4,6,14,6,230,1000,0.6543432955550594,10000,0.656751601336373
4,6,14,6,320,1000,0.6541762787557398,10000,0.656751601336373
4,6,14,6,460,1000,0.6544800621429231,10000,0.656751601336373
4,6,14,6,640,1000,0.6543029621024967,10000,0.656751601336373
4,6,14,6,910,1000,0.6542141219368376,10000,0.656751601336373
4,6,14,6,1280,1000,0.654178344843497,10000,0.656751601336373
4,6,14,6,1820,1000,0.6541869914163143,10000,0.656751601336373
4,6,14,6,2560,1000,0.6541670105092652,10000,0.656751601336373
5,6,14,6,30,1000,0.3449351268052412,10000,0.3360531990143554
5,6,14,6,40,1000,0.3376817023774622,10000,0.3360531990143554
5,6,14,6,60,1000,0.3396375465691845,10000,0.3360531990143554
5,6,14,6,80,1000,0.3367546239523553,10000,0.3360531990143554
5,6,14,6,120,1000,0.3351049710552971,10000,0.3360531990143554
5,6,14,6,160,1000,0.3361073426969408,10000,0.3360531990143554
5,6,14,6,230,1000,0.335012177440439,10000,0.3360531990143554
5,6,14,6,320,1000,0.3347307490171678,10000,0.3360531990143554
5,6,14,6,460,1000,0.3349253882607925,10000,0.3360531990143554
5,6,14,6,640,1000,0.3347899229398671,10000,0.3360531990143554
5,6,14,6,910,1000,0.3347387740072554,10000,0.3360531990143554
5,6,14,6,1280,1000,0.3347031924205746,10000,0.3360531990143554
5,6,14,6,1820,1000,0.3347186027130186,10000,0.3360531990143554
5,6,14,6,2560,1000,0.3346918940014931,10000,0.3360531990143554
6,6,14,6,30,1000,0.1926283582126869,10000,0.1695557075468861
6,6,14,6,40,1000,0.1813965633303417,10000,0.1695557075468861
6,6,14,6,60,1000,0.1751544678815419,10000,0.1695557075468861
6,6,14,6,80,1000,0.1677020492105734,10000,0.1695557075468861
6,6,14,6,120,1000,0.1675527093374529,10000,0.1695557075468861
6,6,14,6,160,1000,0.1734846798142819,10000,0.1695557075468861
6,6,14,6,230,1000,0.1689756829776423,10000,0.1695557075468861
6,6,14,6,320,1000,0.1690631036045341,10000,0.1695557075468861
6,6,14,6,460,1000,0.1690547784961241,10000,0.1695557075468861
6,6,14,6,640,1000,0.1689213680017455,10000,0.1695557075468861
6,6,14,6,910,1000,0.1689131217587675,10000,0.1695557075468861
6,6,14,6,1280,1000,0.1688630671994591,10000,0.1695557075468861
6,6,14,6,1820,1000,0.1688710493625156,10000,0.1695557075468861
6,6,14,6,2560,1000,0.1688557800260442,10000,0.1695557075468861
7,6,14,6,30,1000,0.1070023776303845,10000,0.0848908281822732
7,6,14,6,40,1000,0.0957235984208143,10000,0.0848908281822732
7,6,14,6,60,1000,0.0965484079771741,10000,0.0848908281822732
7,6,14,6,80,1000,0.0844536138854133,10000,0.0848908281822732
7,6,14,6,120,1000,0.085511822409133,10000,0.0848908281822732
7,6,14,6,160,1000,0.087293209566356,10000,0.0848908281822732
7,6,14,6,230,1000,0.0847235450163594,10000,0.0848908281822732
7,6,14,6,320,1000,0.0847109762054927,10000,0.0848908281822732
7,6,14,6,460,1000,0.0849492134852015,10000,0.0848908281822732
7,6,14,6,640,1000,0.0846146475422085,10000,0.0848908281822732
7,6,14,6,910,1000,0.0845750578925018,10000,0.0848908281822732
7,6,14,6,1280,1000,0.0845356841458952,10000,0.0848908281822732
7,6,14,6,1820,1000,0.0845698870264465,10000,0.0848908281822732
7,6,14,6,2560,1000,0.0845324473414845,10000,0.0848908281822732
3,6,14,6,30,1000,1.2527331637349848,10000,1.2403484249822667
3,6,14,6,40,1000,1.2298410541373481,10000,1.2403484249822667
3,6,14,6,60,1000,1.2372515916963536,10000,1.2403484249822667
3,6,14,6,80,1000,1.2330346369615433,10000,1.2403484249822667
3,6,14,6,120,1000,1.232133467747225,10000,1.2403484249822667
3,6,14,6,160,1000,1.2318202501288162,10000,1.2403484249822667
3,6,14,6,230,1000,1.2316736211274573,10000,1.2403484249822667
3,6,14,6,320,1000,1.2315618185185584,10000,1.2403484249822667
3,6,14,6,460,1000,1.231206927639374,10000,1.2403484249822667
3,6,14,6,640,1000,1.231251480195536,10000,1.2403484249822667
3,6,14,6,910,1000,1.2312211002154445,10000,1.2403484249822667
3,6,14,6,1280,1000,1.2311746184937438,10000,1.2403484249822667
3,6,14,6,1820,1000,1.2312039682778861,10000,1.2403484249822667
3,6,14,6,2560,1000,1.2311762863599054,10000,1.2403484249822667
4,6,14,6,30,1000,0.6643224424239421,10000,0.6562661702030963
4,6,14,6,40,1000,0.6490853021515082,10000,0.6562661702030963
4,6,14,6,60,1000,0.6570930646074286,10000,0.6562661702030963
4,6,14,6,80,1000,0.6515600057164547,10000,0.6562661702030963
4,6,14,6,120,1000,0.6520749305906325,10000,0.6562661702030963
4,6,14,6,160,1000,0.6515038005174394,10000,0.6562661702030963
4,6,14,6,230,1000,0.6514947085803943,10000,0.6562661702030963
4,6,14,6,320,1000,0.6516562673846449,10000,0.6562661702030963
4,6,14,6,460,1000,0.6514116435244506,10000,0.6562661702030963
4,6,14,6,640,1000,0.6514116979748282,10000,0.6562661702030963
4,6,14,6,910,1000,0.651366493504633,10000,0.6562661702030963
4,6,14,6,1280,1000,0.6513598388956434,10000,0.6562661702030963
4,6,14,6,1820,1000,0.6513512590673898,10000,0.6562661702030963
4,6,14,6,2560,1000,0.6513384873986521,10000,0.6562661702030963
5,6,14,6,30,1000,0.3416021484681674,10000,0.3358108446173599
5,6,14,6,40,1000,0.3413860699009167,10000,0.3358108446173599
5,6,14,6,60,1000,0.336207684256978,10000,0.3358108446173599
5,6,14,6,80,1000,0.3341421822198546,10000,0.3358108446173599
5,6,14,6,120,1000,0.3341517868361556,10000,0.3358108446173599
5,6,14,6,160,1000,0.3337897029811005,10000,0.3358108446173599
5,6,14,6,230,1000,0.33364861584923566,10000,0.3358108446173599
5,6,14,6,320,1000,0.33346113508338027,10000,0.3358108446173599
5,6,14,6,460,1000,0.33341499653741297,10000,0.3358108446173599
5,6,14,6,640,1000,0.3334107987383297,10000,0.3358108446173599
5,6,14,6,910,1000,0.3333841541802825,10000,0.3358108446173599
5,6,14,6,1280,1000,0.3333366554189025,10000,0.3358108446173599
5,6,14,6,1820,1000,0.33334028886932576,10000,0.3358108446173599
5,6,14,6,2560,1000,0.3333217138371351,10000,0.3358108446173599
6,6,14,6,30,1000,0.17628923242229633,10000,0.16943523928614812
6,6,14,6,40,1000,0.17265667506617458,10000,0.16943523928614812
6,6,14,6,60,1000,0.17161006314485092,10000,0.16943523928614812
6,6,14,6,80,1000,0.16858954593426034,10000,0.16943523928614812
6,6,14,6,120,1000,0.16971402878141897,10000,0.16943523928614812
6,6,14,6,160,1000,0.16875669914140393,10000,0.16943523928614812
6,6,14,6,230,1000,0.16874124430880397,10000,0.16943523928614812
6,6,14,6,320,1000,0.16836551228787117,10000,0.16943523928614812
6,6,14,6,460,1000,0.16838771220788235,10000,0.16943523928614812
6,6,14,6,640,1000,0.16826844308841782,10000,0.16943523928614812
6,6,14,6,910,1000,0.16823603855607677,10000,0.16943523928614812
6,6,14,6,1280,1000,0.16819670498524708,10000,0.16943523928614812
6,6,14,6,1820,1000,0.1682094177131729,10000,0.16943523928614812
6,6,14,6,2560,1000,0.1681950148872593,10000,0.16943523928614812
7,6,14,6,30,1000,0.10621006428108919,10000,0.08483100122552545
7,6,14,6,40,1000,0.09914234217724792,10000,0.08483100122552545
7,6,14,6,60,1000,0.08762749327592409,10000,0.08483100122552545
7,6,14,6,80,1000,0.08659411028726084,10000,0.08483100122552545
7,6,14,6,120,1000,0.08535526701218846,10000,0.08483100122552545
7,6,14,6,160,1000,0.08506748632654249,10000,0.08483100122552545
7,6,14,6,230,1000,0.08457001012844478,10000,0.08483100122552545
7,6,14,6,320,1000,0.08427434974273706,10000,0.08483100122552545
7,6,14,6,460,1000,0.08686813550360543,10000,0.08483100122552545
7,6,14,6,640,1000,0.08427314421502359,10000,0.08483100122552545
7,6,14,6,910,1000,0.08425453686892694,10000,0.08483100122552545
7,6,14,6,1280,1000,0.0842266004948082,10000,0.08483100122552545
7,6,14,6,1820,1000,0.08424575472690078,10000,0.08483100122552545
7,6,14,6,2560,1000,0.0842166613012055,10000,0.08483100122552545
8,6,14,6,30,1000,0.08883800401166957,10000,0.04218991117452963
8,6,14,6,40,1000,0.05314231257855249,10000,0.04218991117452963
8,6,14,6,60,1000,0.04894640311093804,10000,0.04218991117452963
8,6,14,6,80,1000,0.05230340022791111,10000,0.04218991117452963
8,6,14,6,120,1000,0.043340547382977296,10000,0.04218991117452963
